inchikey,smiles,mw,observed_as_reactant,observed_as_product,strict_starting_material_candidate,source_reaction_ids,source_files,classifications
YBUUADXRBORUAR-UHFFFAOYSA-N,BrC#CC(Oc1ccccc1)c1ccccc1,287.156,True,True,False,LIT_0167_v01;LIT_0168_v01,26-06-26 黄酮化合物的合成.md,flavanone_synthesis
AJBJISAUTCAXDV-UHFFFAOYSA-N,BrC1=CCOc2ccccc21,211.058,True,True,False,LIT_0300_v01;LIT_0301_v01,26-06-26 黄酮化合物的合成.md,literature_reaction
YMOONIIMQBGTDU-UHFFFAOYSA-N,BrC=Cc1ccccc1,183.048,True,False,True,LIT_0106_v17,26-06-26 黄酮化合物的合成.md,chalcone_synthesis
IPNPIHIZVLFAFP-UHFFFAOYSA-N,BrP(Br)Br,270.686,True,False,True,LIT_0300_v01;LIT_0300_v02;LIT_0300_v03;LIT_0300_v04;LIT_0300_v05;LIT_0300_v06,26-06-26 黄酮化合物的合成.md,literature_reaction
ANRQGKOBLBYXFM-UHFFFAOYSA-M,Br[Mg]c1ccccc1,181.315,True,False,True,LIT_0183,26-06-26 黄酮化合物的合成.md,flavanone_synthesis
QARVLSVVCXYDNA-UHFFFAOYSA-N,Brc1ccccc1,157.01,True,False,True,LIT_0209,26-06-26 黄酮化合物的合成.md,isoflavone_synthesis
RBLARVHKPUWUKU-UHFFFAOYSA-N,Brc1ccccc1OC1=CCOc2ccccc21,303.155,True,True,False,LIT_0231_v01;LIT_0232_v01,26-06-26 黄酮化合物的合成.md,literature_reaction
BIZVQYPDHVZDOK-AWEZNQCLSA-N,Brc1ccccc1O[C@@H](CCI)c1ccccc1,417.084,True,True,False,LIT_0258_v01;LIT_0259_v01,26-06-26 黄酮化合物的合成.md,methylation
HSFWRNGVRCDJHI-UHFFFAOYSA-N,C#C,26.038,True,False,True,LIT_0139;LIT_0234,26-06-26 黄酮化合物的合成.md,flavonoid_synthesis;protection
QKOQKOIFFRKCCD-UHFFFAOYSA-N,C#CC(=O)c1cc(O)c(O)c(O)c1,178.143,True,False,True,LIT_0131_v06;LIT_0131_v12,26-06-26 黄酮化合物的合成.md,protection
BNURDBDRAKVGRF-UHFFFAOYSA-N,C#CC(=O)c1ccc(O)c(O)c1,162.144,True,False,True,LIT_0131_v05;LIT_0131_v11,26-06-26 黄酮化合物的合成.md,protection
ANQNJNUPQHITPT-UHFFFAOYSA-N,C#CC(=O)c1ccc(O)cc1,146.145,True,False,True,LIT_0131_v04;LIT_0131_v10,26-06-26 黄酮化合物的合成.md,protection
LNCXIZFJAIYDGG-UHFFFAOYSA-N,C#CC(=O)c1ccc(OC)c(OC)c1OC,220.224,True,False,True,LIT_0131_v03;LIT_0131_v09,26-06-26 黄酮化合物的合成.md,protection
QVJCRRJXMMPQKP-UHFFFAOYSA-N,C#CC(=O)c1ccc(OC)cc1,160.172,True,False,True,LIT_0131_v02;LIT_0131_v08,26-06-26 黄酮化合物的合成.md,protection
JITPLZPWKYUTDM-UHFFFAOYSA-N,C#CC(=O)c1ccccc1,130.146,True,False,True,LIT_0131_v01;LIT_0131_v07,26-06-26 黄酮化合物的合成.md,protection
UIGLAZDLBZDVBL-UHFFFAOYSA-N,C#CC(O)c1ccccc1,132.162,True,False,True,LIT_0117,26-06-26 黄酮化合物的合成.md,chalcone_synthesis
VPXAGLBLSSICOO-UHFFFAOYSA-N,C#CC(Oc1ccc(C)cc1)c1ccccc1,222.287,True,False,True,LIT_0167_v05,26-06-26 黄酮化合物的合成.md,flavanone_synthesis
NAWVLZPLWPGVCZ-UHFFFAOYSA-N,C#CC(Oc1ccc(C)cc1C)c1ccccc1,236.314,True,False,True,LIT_0167_v06,26-06-26 黄酮化合物的合成.md,flavanone_synthesis
OFGSUBNHTVNWKT-UHFFFAOYSA-N,C#CC(Oc1ccc(C)cc1Cl)c1ccccc1,256.732,True,False,True,LIT_0167_v08,26-06-26 黄酮化合物的合成.md,flavanone_synthesis
SWAZLSMHUHDZTP-UHFFFAOYSA-N,C#CC(Oc1ccc(C)cc1OC)c1ccccc1,252.313,True,False,True,LIT_0167_v07,26-06-26 黄酮化合物的合成.md,flavanone_synthesis
NBQPJQCGYJTNAH-UHFFFAOYSA-N,C#CC(Oc1ccccc1)c1ccccc1,208.26,True,False,True,LIT_0167_v01,26-06-26 黄酮化合物的合成.md,flavanone_synthesis
