template_code,retro_template,template_hash,classification,library_occurence,reaction_id,name,source_file,source_line,confidence,needs_review,has_generic_group,generic_resolution_status,aizynthfinder_ready,conditions,raw_reaction_smiles,forward_smarts
0,[#6]-[#6](-[#6])=[#6]-[#6]-[#6]1:[#6]:[#6](-[#6]):[#6](-[#6]):[#6]:[#6]:1-[#8]>>[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1-[#6],a9b920e91f7dfa9a3ad35abf7a4b496cd2e9f777ba36721c7ec017a7729369d1,flavonoid_synthesis,1,LIT_0001,C-烷基化黄酮 / 异戊烯基黄酮,26-06-15 黄酮化合物的结构.md,91,0.95,False,False,not_generic,True,根据取代基侧链长度、氧化程度和是否成环，可将异戊烯基黄酮分为以下几类：,Cc1ccc(O)cc1C>>CC(C)=CCc1cc(C)c(C)cc1O,[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1-[#6]>>[#6]-[#6](-[#6])=[#6]-[#6]-[#6]1:[#6]:[#6](-[#6]):[#6](-[#6]):[#6]:[#6]:1-[#8]
1,[#6]-[#6]1:[#6]:[#6](-[#8]):[#6](-[#6]-[#6]2-[#8]-[#6]-2(-[#6])-[#6]):[#6]:[#6]:1-[#6]>>[#6]-[#6](-[#6])=[#6]-[#6]-[#6]1:[#6]:[#6](-[#6]):[#6](-[#6]):[#6]:[#6]:1-[#8],8645f7f8d585b14f034c8873077779aa95288603a7dca1b983ca4669d41ba465,flavonoid_synthesis,1,LIT_0002,C-烷基化黄酮 / 异戊烯基黄酮,26-06-15 黄酮化合物的结构.md,95,0.95,False,False,not_generic,True,根据取代基侧链长度、氧化程度和是否成环，可将异戊烯基黄酮分为以下几类： - $\ce{ C5}$ 侧链：异戊烯基及其不同氧化态,CC(C)=CCc1cc(C)c(C)cc1O>>Cc1cc(O)c(CC2OC2(C)C)cc1C,[#6]-[#6](-[#6])=[#6]-[#6]-[#6]1:[#6]:[#6](-[#6]):[#6](-[#6]):[#6]:[#6]:1-[#8]>>[#6]-[#6]1:[#6]:[#6](-[#8]):[#6](-[#6]-[#6]2-[#8]-[#6]-2(-[#6])-[#6]):[#6]:[#6]:1-[#6]
2,[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6](=[#8])-[#6]1-[#6](-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2)-[#6](-[#6]=[#6](-[#6])-[#6]-1)-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](=[#8]):[#6]:[#6](-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3):[#8]:[#6]:1:2>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6](=[#8])-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1.[#6]=[#6](-[#6])-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](=[#8]):[#6]:[#6](-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3):[#8]:[#6]:1:2,7cc3fb003d123aea352552d1082e378946e9636fe0e7504962e86ac9a4ae2c72,flavonoid_cyclization,1,LIT_0003,黄酮结构多样性 / Diels-Alder 加合物,26-06-15 黄酮化合物的结构.md,178,0.95,False,False,not_generic,True,目前报道的该类Diels-Alder型加合物绝大多数通过途径Ⅱ形成，仅有极少数通过途径I形成，有些化合物还发生进一步的反应，如双键位移、氧化、环化、缩合等，从而形成更复杂的Diels-Alder型加合物。 Diels-Alder型加合物根据加合产生的环已烯环的3个手性中心，一般分为 **全反型**(trans-trans) 和 **顺反型(cis-trans)** 两种。Diels-Alder型加合物D环的这两种不同结构常可通过其全甲基化衍生物经NaBH4还原后，由C-4''高场位移和2D NMR(HMBC)实验确定。另外，还有缩酮型和环己烯环变形的Diels-Alder型加合物。,c1ccccc1C(=O)C=Cc2ccccc2.C=C(C)C=Cc1cccc2C(=O)C=C(c3ccccc3)Oc21>>c1ccccc1C(=O)C2C(c3ccccc3)C(C=C(C)C2)c4cccc5c(=O)C=C(c6ccccc6)Oc54,[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6](=[#8])-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1.[#6]=[#6](-[#6])-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](=[#8]):[#6]:[#6](-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3):[#8]:[#6]:1:2>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6](=[#8])-[#6]1-[#6](-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2)-[#6](-[#6]=[#6](-[#6])-[#6]-1)-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](=[#8]):[#6]:[#6](-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3):[#8]:[#6]:1:2
3,[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]1-[#6](-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2)-[#6](-[#6]=[#6](-[#6])-[#6]-1)-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](=[#8]):[#6]:[#6](-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3):[#8]:[#6]:1:2>>c1cccccc1C=CC(=O)c2ccccc2.[#6]=[#6](-[#6])-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](=[#8]):[#6]:[#6](-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3):[#8]:[#6]:1:2,755ab5cce43346c9859c73e3c9eab6105f22b310d72ca1b412dfe8b9e6b2f220,flavonoid_cyclization,1,LIT_0004,黄酮结构多样性 / Diels-Alder 加合物,26-06-15 黄酮化合物的结构.md,179,0.95,False,False,not_generic,True,目前报道的该类Diels-Alder型加合物绝大多数通过途径Ⅱ形成，仅有极少数通过途径I形成，有些化合物还发生进一步的反应，如双键位移、氧化、环化、缩合等，从而形成更复杂的Diels-Alder型加合物。 Diels-Alder型加合物根据加合产生的环已烯环的3个手性中心，一般分为 **全反型**(trans-trans) 和 **顺反型(cis-trans)** 两种。Diels-Alder型加合物D环的这两种不同结构常可通过其全甲基化衍生物经NaBH4还原后，由C-4''高场位移和2D NMR(HMBC)实验确定。另外，还有缩酮型和环己烯环变形的Diels-Alder型加合物。,c1cccccc1C=CC(=O)c2ccccc2.C=C(C)C=Cc1cccc2C(=O)C=C(c3ccccc3)Oc21>>c1ccccc1C2C(C(=O)c3ccccc3)C(C=C(C)C2)c4cccc5C(=O)C=C(c6ccccc6)Oc54,c1cccccc1C=CC(=O)c2ccccc2.[#6]=[#6](-[#6])-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](=[#8]):[#6]:[#6](-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3):[#8]:[#6]:1:2>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]1-[#6](-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2)-[#6](-[#6]=[#6](-[#6])-[#6]-1)-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](=[#8]):[#6]:[#6](-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3):[#8]:[#6]:1:2
4,[#6]1:[#6]:[#6]:[#6]:[#6]2-[#6](=[#8])-[#6]3-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-[#8]-[#6]-[#6]-3-[#8]-[#6]:1:2.[#6]1:[#6]:[#6]:[#6]:[#6]2-[#6](=[#8])-[#6]3(-[#8])-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-[#8]-[#6]-[#6]-3-[#8]-[#6]:1:2.[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](=[#8]):[#6]3-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-[#8]-[#6]-[#6]:3:[#8]:[#6]:1:2>>[#6]1:[#6]:[#6]2:[#8]:[#6]:[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3):[#6](=[#8]):[#6]:2:[#6]:[#6]:1,8811a8dc366c8c103c484be2f4a58d3899db1075102b777968fba03fa95da957,biosynthesis,1,LIT_0005,biosynthesis,26-06-18 黄酮化合物的生物合成.md,65,0.95,False,False,not_generic,True,由对羟基桂皮酰辅酶A和丙二酸单酰辅酶A首先形成聚酮中间体，聚酮中间体有两种缩合方式：其一通过羟醛缩合形成二苯乙烯，其二通过 Claisen 缩合。而 Claisen 缩合又有两种方式，一种方式是聚酮中间体通过 Claisen 缩合形成柚皮素型查耳酮，再继续经 Michael 亲核加成形成二氢黄酮型柚皮素；另一种方式是聚酮中间体经由还原型辅酶Ⅱ还原，再经 Claisen 缩合形成查耳酮型异甘草素，再继续经 Michael 亲核加成形成二氢黄酮型甘草素。,c2cc3OC=C(c1c(O)cccc1)C(=O)c3cc2>>c1cccc2C(=O)C3c4ccccc4OCC3Oc21.c1cccc2C(=O)C3(O)c4ccccc4OCC3Oc21.c1cccc2C(=O)C=3c4ccccc4OCC3Oc21,[#6]1:[#6]:[#6]2:[#8]:[#6]:[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3):[#6](=[#8]):[#6]:2:[#6]:[#6]:1>>[#6]1:[#6]:[#6]:[#6]:[#6]2-[#6](=[#8])-[#6]3-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-[#8]-[#6]-[#6]-3-[#8]-[#6]:1:2.[#6]1:[#6]:[#6]:[#6]:[#6]2-[#6](=[#8])-[#6]3(-[#8])-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-[#8]-[#6]-[#6]-3-[#8]-[#6]:1:2.[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](=[#8]):[#6]3-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-[#8]-[#6]-[#6]:3:[#8]:[#6]:1:2
5,[#6]1:[#6]:[#6]:[#6]:[#6]2-[#6](=[#8])-[#6]3(-[#8])-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-[#8]-[#6]-3-[#8]-[#6]:1:2>>[#6]1:[#6]:[#6]2:[#8]:[#6]:[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3):[#6](=[#8]):[#6]:2:[#6]:[#6]:1,f16a40f7c65d30b42088e60521ede74e57d3a12712f7c76bd83b4c19da5e38dc,biosynthesis,1,LIT_0006,biosynthesis,26-06-18 黄酮化合物的生物合成.md,66,0.95,False,False,not_generic,True,由对羟基桂皮酰辅酶A和丙二酸单酰辅酶A首先形成聚酮中间体，聚酮中间体有两种缩合方式：其一通过羟醛缩合形成二苯乙烯，其二通过 Claisen 缩合。而 Claisen 缩合又有两种方式，一种方式是聚酮中间体通过 Claisen 缩合形成柚皮素型查耳酮，再继续经 Michael 亲核加成形成二氢黄酮型柚皮素；另一种方式是聚酮中间体经由还原型辅酶Ⅱ还原，再经 Claisen 缩合形成查耳酮型异甘草素，再继续经 Michael 亲核加成形成二氢黄酮型甘草素。,c2cc3OC=C(c1c(O)cccc1)C(=O)c3cc2>>c1cccc2C(=O)C3(O)c4ccccc4OC3Oc21,[#6]1:[#6]:[#6]2:[#8]:[#6]:[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3):[#6](=[#8]):[#6]:2:[#6]:[#6]:1>>[#6]1:[#6]:[#6]:[#6]:[#6]2-[#6](=[#8])-[#6]3(-[#8])-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-[#8]-[#6]-3-[#8]-[#6]:1:2
6,[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](=[#8]):[#6]3:[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4:[#8]:[#6]:3:[#8]:[#6]:1:2>>[#6]1:[#6]:[#6]:[#6]:[#6]2-[#6](=[#8])-[#6]3(-[#8])-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-[#8]-[#6]-3-[#8]-[#6]:1:2,b68ebcb2760549717b6756894f307d4dd296f66dbc4cd9cff3338eb321b8c65e,biosynthesis,1,LIT_0007,biosynthesis,26-06-18 黄酮化合物的生物合成.md,66,0.95,False,False,not_generic,True,由对羟基桂皮酰辅酶A和丙二酸单酰辅酶A首先形成聚酮中间体，聚酮中间体有两种缩合方式：其一通过羟醛缩合形成二苯乙烯，其二通过 Claisen 缩合。而 Claisen 缩合又有两种方式，一种方式是聚酮中间体通过 Claisen 缩合形成柚皮素型查耳酮，再继续经 Michael 亲核加成形成二氢黄酮型柚皮素；另一种方式是聚酮中间体经由还原型辅酶Ⅱ还原，再经 Claisen 缩合形成查耳酮型异甘草素，再继续经 Michael 亲核加成形成二氢黄酮型甘草素。,c1cccc2C(=O)C3(O)c4ccccc4OC3Oc21>>c1cccc2C(=O)C=3c4ccccc4OC3Oc21,[#6]1:[#6]:[#6]:[#6]:[#6]2-[#6](=[#8])-[#6]3(-[#8])-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-[#8]-[#6]-3-[#8]-[#6]:1:2>>[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](=[#8]):[#6]3:[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4:[#8]:[#6]:3:[#8]:[#6]:1:2
7,[#6]1:[#6]:[#6]2-[#8]-[#6]-[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3)=[#6]-[#6]:2:[#6]:[#6]:1>>[#6]1:[#6]:[#6]2-[#8]-[#6]-[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3)-[#6](=[#8])-[#6]:2:[#6]:[#6]:1,34792e8d5a17901eced2d1c0939fb537ad5ac3ab9e49915d41b0d723c8db6911,biosynthesis,1,LIT_0008,biosynthesis,26-06-18 黄酮化合物的生物合成.md,67,0.95,False,False,not_generic,True,由对羟基桂皮酰辅酶A和丙二酸单酰辅酶A首先形成聚酮中间体，聚酮中间体有两种缩合方式：其一通过羟醛缩合形成二苯乙烯，其二通过 Claisen 缩合。而 Claisen 缩合又有两种方式，一种方式是聚酮中间体通过 Claisen 缩合形成柚皮素型查耳酮，再继续经 Michael 亲核加成形成二氢黄酮型柚皮素；另一种方式是聚酮中间体经由还原型辅酶Ⅱ还原，再经 Claisen 缩合形成查耳酮型异甘草素，再继续经 Michael 亲核加成形成二氢黄酮型甘草素。,c2cc3OCC(c1c(O)cccc1)C(=O)c3cc2>>c2cc3OCC(c1c(O)cccc1)=Cc3cc2,[#6]1:[#6]:[#6]2-[#8]-[#6]-[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3)-[#6](=[#8])-[#6]:2:[#6]:[#6]:1>>[#6]1:[#6]:[#6]2-[#8]-[#6]-[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3)=[#6]-[#6]:2:[#6]:[#6]:1
8,[#6]1:[#6]:[#6]2:[#8]:[#6](=[#8]):[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3):[#6]:[#6]:2:[#6]:[#6]:1>>[#6]1:[#6]:[#6]2-[#8]-[#6]-[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3)=[#6]-[#6]:2:[#6]:[#6]:1,39b87a497fdc68d55c544cd68e860b3adbc97591b8e905dafefa169556930a20,biosynthesis,1,LIT_0009,biosynthesis,26-06-18 黄酮化合物的生物合成.md,67,0.95,False,False,not_generic,True,由对羟基桂皮酰辅酶A和丙二酸单酰辅酶A首先形成聚酮中间体，聚酮中间体有两种缩合方式：其一通过羟醛缩合形成二苯乙烯，其二通过 Claisen 缩合。而 Claisen 缩合又有两种方式，一种方式是聚酮中间体通过 Claisen 缩合形成柚皮素型查耳酮，再继续经 Michael 亲核加成形成二氢黄酮型柚皮素；另一种方式是聚酮中间体经由还原型辅酶Ⅱ还原，再经 Claisen 缩合形成查耳酮型异甘草素，再继续经 Michael 亲核加成形成二氢黄酮型甘草素。,c2cc3OCC(c1c(O)cccc1)=Cc3cc2>>c2cc3OC(=O)C(c1c(O)cccc1)=Cc3cc2,[#6]1:[#6]:[#6]2-[#8]-[#6]-[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3)=[#6]-[#6]:2:[#6]:[#6]:1>>[#6]1:[#6]:[#6]2:[#8]:[#6](=[#8]):[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3):[#6]:[#6]:2:[#6]:[#6]:1
9,c1cccc2C=3Oc4ccccc4C3C(=O)O21>>[#6]1:[#6]:[#6]2:[#8]:[#6](=[#8]):[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3):[#6]:[#6]:2:[#6]:[#6]:1,e94068bda0c6502c669b6f4b18b5b071d6a937d9519cb2a75c45c89554acb591,biosynthesis,1,LIT_0010,biosynthesis,26-06-18 黄酮化合物的生物合成.md,67,0.95,False,False,not_generic,True,由对羟基桂皮酰辅酶A和丙二酸单酰辅酶A首先形成聚酮中间体，聚酮中间体有两种缩合方式：其一通过羟醛缩合形成二苯乙烯，其二通过 Claisen 缩合。而 Claisen 缩合又有两种方式，一种方式是聚酮中间体通过 Claisen 缩合形成柚皮素型查耳酮，再继续经 Michael 亲核加成形成二氢黄酮型柚皮素；另一种方式是聚酮中间体经由还原型辅酶Ⅱ还原，再经 Claisen 缩合形成查耳酮型异甘草素，再继续经 Michael 亲核加成形成二氢黄酮型甘草素。,c2cc3OC(=O)C(c1c(O)cccc1)=Cc3cc2>>c1cccc2C=3Oc4ccccc4C3C(=O)O21,[#6]1:[#6]:[#6]2:[#8]:[#6](=[#8]):[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:3):[#6]:[#6]:2:[#6]:[#6]:1>>c1cccc2C=3Oc4ccccc4C3C(=O)O21
