name,smiles,inchikey,canonical_smiles,molecular_formula,source_experiment,upstream_family,acetyl_count,silyl_count,normalized_smiles,normalized_inchikey,normalized_inchikey_bridge_check,normalized_family,artifact_class,allowed_report_role,stock_decision,evidence_tier,protection_class,linkage_candidate,notes
sugar_gap_rhamnosyl_hexose_disaccharide_UZIKLNYKVU,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,C12H22O9,sugar_bridge_evidence_review,rhamnosyl_hexose_disaccharide,0,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,,anomeric_deoxy_bridge_artifact,connectivity_evidence_only,keep_virtual_bridge_only,tier_3_connectivity_only,anomeric_deoxy_bridge_artifact,6-O_rhamnosyl_rutinose_like_bridge_core,"human formula audit: bridge skeleton is C12H22O9, whereas true rutinose is C12H22O10; treat as an anomeric-deoxy route-gap artifact, not free rutinose"
sugar_gap_rhamnosyl_hexose_disaccharide_ASGYRTWPIY,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,ASGYRTWPIYFTQG-UHBWOGNBSA-N,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,C22H32O14,sugar_bridge_evidence_review,rhamnosyl_hexose_disaccharide,5,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,tier_3_connectivity_only,acetylated,rhamnosyl_position_unknown,preliminary_conservative_default
sugar_gap_rhamnosyl_hexose_disaccharide_HMSBGGCYEH,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)[C@@H]1OC(C)=O,HMSBGGCYEHLLBH-NXBYORCZSA-N,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)[C@@H]1OC(C)=O,C22H32O14,sugar_bridge_evidence_review,rhamnosyl_hexose_disaccharide,5,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,tier_3_connectivity_only,acetylated,rhamnosyl_position_unknown,preliminary_conservative_default
sugar_gap_rhamnosyl_hexose_disaccharide_NDAQNSFGSP,CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,NDAQNSFGSPFDIX-JEUWSQIJSA-N,CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,C22H32O14,sugar_bridge_evidence_review,rhamnosyl_hexose_disaccharide,5,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,tier_3_connectivity_only,acetylated,rhamnosyl_position_unknown,preliminary_conservative_default
sugar_gap_rhamnosyl_hexose_disaccharide_RAFSHHVKLA,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,RAFSHHVKLARFJP-YOKAVQQVSA-N,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,C22H32O14,sugar_bridge_evidence_review,rhamnosyl_hexose_disaccharide,5,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,tier_3_connectivity_only,acetylated,rhamnosyl_position_unknown,preliminary_conservative_default
sugar_gap_rhamnosyl_hexose_disaccharide_SJFVSFLVJA,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,SJFVSFLVJAZSFI-NXBYORCZSA-N,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,C22H32O14,sugar_bridge_evidence_review,rhamnosyl_hexose_disaccharide,5,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,tier_3_connectivity_only,acetylated,rhamnosyl_position_unknown,preliminary_conservative_default
sugar_gap_rhamnosyl_hexose_disaccharide_VQFCRWDUJQ,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,VQFCRWDUJQUJMR-MNENMKDJSA-N,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,C22H32O14,sugar_bridge_evidence_review,rhamnosyl_hexose_disaccharide,5,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,tier_3_connectivity_only,acetylated,rhamnosyl_position_unknown,preliminary_conservative_default
worklist_sugar_bridge_FNNGBXJR,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2OC(C)=O)O[C@H]1C,FNNGBXJROBDWMA-ZHNUFAISSA-N,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2OC(C)=O)O[C@H]1C,C20H30O13,flavonoid_strict,0.0 Unrecognized,4,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,unassigned,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,route_gap_worklist,,,from route gap worklist; count=1
worklist_sugar_bridge_FPSHZDPF,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,FPSHZDPFWSRWBR-CLTQVZSSSA-N,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,C20H30O13,flavonoid_trusted,0.0 Unrecognized,4,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,unassigned,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,route_gap_worklist,,,from route gap worklist; count=1
worklist_sugar_bridge_KSBOACHA,CC(=O)O[C@H]1[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@@H](C)[C@H](O)[C@H]1O,KSBOACHAAHEXPN-YRHVFKDNSA-N,CC(=O)O[C@H]1[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@@H](C)[C@H](O)[C@H]1O,C20H30O13,flavonoid_strict,0.0 Unrecognized,4,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,unassigned,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,route_gap_worklist,,,from route gap worklist; count=1
worklist_sugar_bridge_OELQOCPR,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,OELQOCPRQSCAPZ-NOAGYLNPSA-N,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,C20H30O13,flavonoid_strict,0.0 Unrecognized,4,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,unassigned,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,route_gap_worklist,,,from route gap worklist; count=1
worklist_sugar_bridge_SIOFUXOW,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)O[C@H]1C,SIOFUXOWYUQWQW-ZWUBSFMASA-N,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)O[C@H]1C,C20H30O13,flavonoid_strict,0.0 Unrecognized,4,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,unassigned,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,route_gap_worklist,,,from route gap worklist; count=1
worklist_sugar_bridge_ZVKTVLIJ,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,ZVKTVLIJXGGLRT-CLTQVZSSSA-N,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,C20H30O13,flavonoid_strict,0.0 Unrecognized,4,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,unassigned,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,route_gap_worklist,,,from route gap worklist; count=1
worklist_sugar_bridge_ALHWVJWB,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)O[C@H]1C,ALHWVJWBVAHMQU-GJGOQDGHSA-N,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)O[C@H]1C,C18H28O12,flavonoid_trusted,0.0 Unrecognized,3,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,unassigned,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,route_gap_worklist,,,from route gap worklist; count=1
worklist_sugar_bridge_GNEYLKJL,CC(=O)O[C@H]1[C@H](OC(C)=O)[C@@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)OC[C@@H]1OC(C)=O,GNEYLKJLRYQISM-PAEMFELMSA-N,CC(=O)O[C@H]1[C@H](OC(C)=O)[C@@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)OC[C@@H]1OC(C)=O,C18H28O12,flavonoid_trusted,0.0 Unrecognized,3,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,unassigned,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,route_gap_worklist,,,from route gap worklist; count=1
worklist_sugar_bridge_KGDNRMUH,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,KGDNRMUHXYXBNW-ZOIOJLRHSA-N,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,C18H28O12,flavonoid_trusted,0.0 Unrecognized,3,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,unassigned,protected_bridge_artifact,search_bias_diagnostic,keep_virtual_bridge_only,route_gap_worklist,,,from route gap worklist; count=1
