name,smiles,inchikey,canonical_smiles,normalized_free_sugar_smiles,normalized_free_sugar_inchikey,protection_class,acetyl_count,silyl_count,disaccharide_family_candidate,linkage_candidate,linkage_confidence,evidence_tier,commercial_status_reviewed,evidence_source,evidence_url_or_citation,decision,allowed_stock_layer_after_review,decision_reason,reviewer_notes
sugar_gap_rhamnosyl_hexose_disaccharide_UZIKLNYKVU,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,,,free_sugar,0,0,rhamnosyl_hexose_disaccharide,rhamnosyl_position_unknown,low,tier_3_connectivity_only,not_reviewed,,,keep_virtual_bridge,virtual_bridge,preliminary_conservative_default,
sugar_gap_rhamnosyl_hexose_disaccharide_SPCUBGINFC,CC(=O)O[C@H]1[C@H](O)[C@@H](O)CO[C@@H]1CO[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,SPCUBGINFCWHNO-ZGYABWKMSA-N,CC(=O)O[C@H]1[C@H](O)[C@@H](O)CO[C@@H]1CO[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,acetylated,1,0,rhamnosyl_hexose_disaccharide,rhamnosyl_position_unknown,low,tier_3_connectivity_only,not_reviewed,,,keep_virtual_bridge,virtual_bridge,preliminary_conservative_default,
sugar_gap_rhamnosyl_hexose_disaccharide_ASGYRTWPIY,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,ASGYRTWPIYFTQG-UHBWOGNBSA-N,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@@H]1O,LIOBXRRMRVPOCG-YRHVFKDNSA-N,acetylated,5,0,rhamnosyl_hexose_disaccharide,rhamnosyl_position_unknown,low,tier_3_connectivity_only,not_reviewed,,,keep_virtual_bridge,virtual_bridge,preliminary_conservative_default,
sugar_gap_rhamnosyl_hexose_disaccharide_BSESJCOUYF,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2OC(C)=O)O[C@H]1C,BSESJCOUYFELHO-DFRUXKTFSA-N,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2OC(C)=O)O[C@H]1C,CC(=O)O[C@H]1[C@H](O)[C@@H](O)CO[C@@H]1CO[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,SPCUBGINFCWHNO-ZGYABWKMSA-N,acetylated,2,0,rhamnosyl_hexose_disaccharide,rhamnosyl_position_unknown,low,tier_3_connectivity_only,not_reviewed,,,keep_virtual_bridge,virtual_bridge,preliminary_conservative_default,
sugar_gap_rhamnosyl_hexose_disaccharide_COAOCSAWRK,CC(=O)O[C@H]1[C@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2OC(C)=O)O[C@@H](C)[C@H](O)[C@H]1O,COAOCSAWRKFHQU-OYESWYITSA-N,CC(=O)O[C@H]1[C@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2OC(C)=O)O[C@@H](C)[C@H](O)[C@H]1O,CC(=O)O[C@H]1[C@H](O)[C@@H](O)CO[C@@H]1CO[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,SPCUBGINFCWHNO-ZGYABWKMSA-N,acetylated,2,0,rhamnosyl_hexose_disaccharide,rhamnosyl_position_unknown,low,tier_3_connectivity_only,not_reviewed,,,keep_virtual_bridge,virtual_bridge,preliminary_conservative_default,
sugar_gap_rhamnosyl_hexose_disaccharide_HMSBGGCYEH,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)[C@@H]1OC(C)=O,HMSBGGCYEHLLBH-NXBYORCZSA-N,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)[C@@H]1OC(C)=O,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)O[C@H]1C,SIOFUXOWYUQWQW-ZWUBSFMASA-N,acetylated,5,0,rhamnosyl_hexose_disaccharide,rhamnosyl_position_unknown,low,tier_3_connectivity_only,not_reviewed,,,keep_virtual_bridge,virtual_bridge,preliminary_conservative_default,
sugar_gap_rhamnosyl_hexose_disaccharide_NDAQNSFGSP,CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,NDAQNSFGSPFDIX-JEUWSQIJSA-N,CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,CC(=O)O[C@H]1[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@@H](C)[C@H](O)[C@H]1O,KSBOACHAAHEXPN-YRHVFKDNSA-N,acetylated,5,0,rhamnosyl_hexose_disaccharide,rhamnosyl_position_unknown,low,tier_3_connectivity_only,not_reviewed,,,keep_virtual_bridge,virtual_bridge,preliminary_conservative_default,
sugar_gap_rhamnosyl_hexose_disaccharide_NTQPAWBRYI,CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O,NTQPAWBRYIOBFQ-ZGYABWKMSA-N,CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,acetylated,1,0,rhamnosyl_hexose_disaccharide,rhamnosyl_position_unknown,low,tier_3_connectivity_only,not_reviewed,,,keep_virtual_bridge,virtual_bridge,preliminary_conservative_default,
sugar_gap_rhamnosyl_hexose_disaccharide_RAFSHHVKLA,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,RAFSHHVKLARFJP-YOKAVQQVSA-N,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,ZVKTVLIJXGGLRT-CLTQVZSSSA-N,acetylated,5,0,rhamnosyl_hexose_disaccharide,rhamnosyl_position_unknown,low,tier_3_connectivity_only,not_reviewed,,,keep_virtual_bridge,virtual_bridge,preliminary_conservative_default,
sugar_gap_rhamnosyl_hexose_disaccharide_SJFVSFLVJA,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,SJFVSFLVJAZSFI-NXBYORCZSA-N,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,CC(=O)O[C@H]1[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@@H](C)[C@H](O)[C@H]1O,KSBOACHAAHEXPN-YRHVFKDNSA-N,acetylated,5,0,rhamnosyl_hexose_disaccharide,rhamnosyl_position_unknown,low,tier_3_connectivity_only,not_reviewed,,,keep_virtual_bridge,virtual_bridge,preliminary_conservative_default,
