smiles,canonical_smiles,inchikey,count,first_seen_experiment,upstream_family,sugar_core,protection_state,bridge_action,bridge_layer,confidence,mw,heavy_atoms,carbon_count,oxygen_count,sugar_ring_count,aromatic_atom_count,acetyl_count,silyl_count,rhamnose_signature,notes
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(c3)OC(c3ccc(O)c(O)c3)CC4=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(c3)OC(c3ccc(O)c(O)c3)CC4=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,OMQADRGFMLGFJF-GDRLQRQZSA-N,3,custom_only_strict,aryl_methyl_ether_cleavage,flavonoid_bound_glycoside_or_aromatic_glycoside,free_or_neutral,manual_review_do_not_bridge_as_stock,,medium,596.5,42,27,15,2,12,0,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,QUQPHWDTPGMPEX-LLHRBZKSSA-N,3,custom_only_strict,unknown,flavonoid_bound_glycoside_or_aromatic_glycoside,free_or_neutral,manual_review_do_not_bridge_as_stock,,medium,610.6,43,28,15,2,12,0,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4OC(C)=O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4OC(C)=O)cc3O2)cc1OC,AEZUNRCFQWQNLF-ALZUHCOQSA-N,1,baseline_strict,0.0 Unrecognized,flavonoid_bound_glycoside_or_aromatic_glycoside,acetylated:1,manual_review_do_not_bridge_as_stock,,medium,666.6,47,31,16,2,12,1,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](OC(C)=O)[C@H]4O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](OC(C)=O)[C@H]4O)cc3O2)cc1OC,AHQKOWRXCGDFLU-YSQCMRICSA-N,1,baseline_strict,0.0 Unrecognized,flavonoid_bound_glycoside_or_aromatic_glycoside,acetylated:1,manual_review_do_not_bridge_as_stock,,medium,666.6,47,31,16,2,12,1,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5OC(C)=O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5OC(C)=O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,BKTFZINGBYYYRS-AIFBDTKMSA-N,1,baseline_strict,0.0 Unrecognized,flavonoid_bound_glycoside_or_aromatic_glycoside,acetylated:2,manual_review_do_not_bridge_as_stock,,medium,708.7,50,33,17,2,12,2,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4OC(C)=O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4OC(C)=O)cc3O2)cc1OC,FGJMFFLPLHCXBR-AIFBDTKMSA-N,1,baseline_strict,0.0 Unrecognized,flavonoid_bound_glycoside_or_aromatic_glycoside,acetylated:2,manual_review_do_not_bridge_as_stock,,medium,708.7,50,33,17,2,12,2,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,GUMSHIGGVOJLBP-FZIAYWRKSA-N,1,baseline_strict,0.0 Unrecognized,flavonoid_bound_glycoside_or_aromatic_glycoside,free_or_neutral,manual_review_do_not_bridge_as_stock,,medium,624.6,44,29,15,2,12,0,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](OC(C)=O)[C@H](O)[C@H]4O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](OC(C)=O)[C@H](O)[C@H]4O)cc3O2)cc1OC,LPOYDXPNMAXOHD-LKKIYTMSSA-N,1,baseline_strict,0.0 Unrecognized,flavonoid_bound_glycoside_or_aromatic_glycoside,acetylated:2,manual_review_do_not_bridge_as_stock,,medium,708.7,50,33,17,2,12,2,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5OC(C)=O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5OC(C)=O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,LYCMXBOMHHVHCK-WMQJJTPLSA-N,1,baseline_strict,0.0 Unrecognized,flavonoid_bound_glycoside_or_aromatic_glycoside,acetylated:1,manual_review_do_not_bridge_as_stock,,medium,666.6,47,31,16,2,12,1,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,LYZIQPSTSMTVPF-ISDOPVRJSA-N,1,baseline_strict,0.0 Unrecognized,flavonoid_bound_glycoside_or_aromatic_glycoside,acetylated:2,manual_review_do_not_bridge_as_stock,,medium,708.7,50,33,17,2,12,2,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
